CO,HC,Temp,Hum,CO2,TVOC,DD
192,39,33.8,50,909,77,1
194,44,33.8,51,920,79,4
189,39,33.8,51,907,77,1
190,43,33.8,51,872,71,13
189,39,33.8,51,887,74,0
191,45,33.8,51,880,73,1
189,39,33.8,51,857,69,0
189,39,33.8,52,834,66,1
188,39,33.8,52,840,67,0
189,42,33.8,52,819,63,0
188,39,33.8,52,848,68,0
190,39,33.8,53,887,74,0
190,39,33.8,53,865,70,0
191,42,33.8,53,889,74,0
191,42,33.8,53,897,75,11
195,43,33.8,54,802,61,6
192,39,33.8,54,895,75,1
198,40,33.8,54,909,77,0
188,37,33.8,54,920,79,0
192,39,33.8,55,907,77,11
192,39,33.8,55,882,73,0
192,39,33.8,55,902,76,1
191,41,33.8,55,920,79,2
192,37,33.8,55,909,77,0
179,43,33.8,55,770,56,1
194,43,33.8,55,923,79,3
194,37,33.8,56,817,63,1
195,39,33.8,56,907,77,5
197,39,33.8,56,905,76,0
191,41,33.8,56,902,76,1
213,47,33.8,56,793,59,0
205,37,33.8,56,927,80,0
200,37,33.8,56,923,79,0
199,43,33.8,56,925,79,18
196,37,33.8,56,855,69,0
201,43,33.8,56,930,80,15
195,43,33.8,56,927,80,2
197,43,33.8,56,918,78,4
194,39,33.8,56,923,79,0
194,39,33.8,56,909,77,0
195,39,33.8,57,874,72,0
196,40,33.8,57,872,71,0
193,39,33.8,57,785,58,0
194,43,33.8,57,848,68,3
194,39,33.8,57,834,66,0
193,39,33.8,57,853,69,0
194,39,33.8,57,844,67,0
200,40,33.8,57,830,65,0
198,40,33.8,57,848,68,4
198,40,33.8,57,836,66,0
187,43,33.8,58,715,47,0
198,39,33.8,58,844,67,0
196,39,33.8,58,838,66,0
200,40,33.8,58,838,66,4
199,44,33.8,58,855,69,5
199,44,33.8,58,851,68,3
197,40,33.8,58,880,73,3
199,43,33.8,58,848,68,3
196,37,33.8,58,715,47,17
195,39,33.8,58,804,61,0
200,44,33.8,59,821,64,4
201,40,33.8,59,857,69,8
198,39,33.8,59,817,63,9
198,43,33.8,59,683,43,0
205,44,33.8,59,785,58,3
202,44,33.8,60,672,41,0
212,41,33.8,60,754,53,0
196,39,33.8,60,730,50,0
189,40,33.8,60,672,41,0
186,39,33.8,60,732,50,4
177,43,33.8,61,640,36,0
198,40,33.8,61,730,50,0
200,39,33.8,61,740,51,0
205,37,33.8,61,757,54,0
203,43,33.8,61,757,54,0
204,37,33.8,61,737,51,0
204,40,33.8,61,733,50,0
206,39,33.8,61,742,52,93
209,44,33.8,61,748,53,4
208,39,33.8,61,674,41,51
208,37,33.8,61,717,48,0
212,43,33.8,61,708,46,9
207,39,33.8,61,704,46,0
208,39,33.8,61,715,47,0
208,39,33.8,62,744,52,0
210,40,33.8,62,744,52,12
208,39,33.8,62,746,52,1
209,44,33.8,62,659,39,3
206,43,33.8,61,754,53,3
205,39,33.8,62,737,51,7
204,43,33.8,61,733,50,0
205,39,33.8,61,765,55,11
199,44,33.8,61,656,39,0
211,46,33.8,61,737,51,5
207,41,33.8,61,692,44,0
206,44,33.8,61,600,30,0
214,40,33.8,61,678,42,0
211,44,33.8,61,574,26,59
218,40,33.8,61,652,38,0
207,40,33.8,61,666,40,0
207,41,33.8,61,620,33,1
209,40,33.8,61,611,32,0
204,43,33.8,61,527,19,0
207,40,33.8,61,552,23,0
204,37,33.8,61,566,25,1
203,39,33.8,61,564,24,0
207,41,33.8,61,549,22,0
193,39,33.7,61,548,22,41
191,40,33.7,61,531,19,6
185,39,33.4,61,549,22,0
185,47,33.4,61,470,10,1
186,42,33.7,61,526,19,2
183,39,33.6,61,543,21,120
181,39,33.7,61,546,22,0
176,41,33.7,61,466,10,56
183,39,33.7,61,574,26,0
181,38,33.8,61,564,24,0
181,39,33.7,61,566,25,2
186,40,33.8,61,566,25,0
179,39,33.7,61,556,23,0
179,39,33.8,61,555,23,0
183,44,33.7,61,555,23,3
184,43,33.7,61,473,11,0
184,39,33.7,61,543,21,19
181,42,33.7,61,487,13,1
184,40,33.8,61,536,20,0
179,39,33.8,61,551,23,0
179,39,33.8,61,536,20,2
178,37,33.7,61,553,23,0
178,37,33.7,61,530,19,8
178,39,33.7,61,566,25,0
177,37,33.7,61,546,22,0
177,42,33.7,61,497,14,1
177,37,33.7,60,524,18,0
177,39,33.7,60,536,20,0
177,41,33.7,60,530,19,0
177,39,33.8,60,542,21,0
174,46,33.8,60,413,1,4
181,43,33.8,60,531,19,2
176,42,33.7,60,529,19,3
184,35,33.7,60,508,16,0
187,35,33.7,60,529,19,0
191,40,33.7,59,531,19,0
194,39,33.5,59,534,20,22
194,43,33.8,59,543,21,3
189,39,33.6,59,543,21,0
194,39,33.7,59,542,21,0
192,48,33.5,59,463,9,2
200,37,33.4,59,537,20,11
197,39,33.4,59,546,22,0
197,39,33.4,59,542,21,3
196,43,33.7,59,534,20,5
196,37,33.5,59,543,21,0
199,44,33.4,58,553,23,51
199,44,33.3,58,553,23,0
196,40,33.3,58,556,23,0
195,39,33.3,58,454,8,23
